difference,count
886,9
888,16
890,11
892,7
894,15
896,4
898,6
900,18
902,11
904,13
906,14
908,5
910,11
912,16
914,12
916,5
918,16
920,18
922,11
924,20
926,4
928,8
930,27
932,4
934,9
936,14
938,9
940,6
942,15
944,6
946,6
948,13
950,9
952,8
954,16
956,5
958,6
960,19
962,10
964,8
966,23
968,10
970,7
972,9
974,4
976,6
978,16
980,10
982,6
984,11
986,6
988,5
990,17
992,3
994,9
996,9
998,10
1000,7
1002,16
1004,8
1006,8
1008,20
1010,9
1012,9
1014,11
1016,7
1018,2
1020,20
1022,5
1024,7
1026,5
1028,9
1030,7
1032,9
1034,8
1036,6
1038,15
1040,9
1042,3
1044,13
1046,4
1048,5
1050,11
1052,7
1054,7
1056,8
1058,1
1060,6
1062,15
1064,5
1066,9
1068,7
1070,12
1072,3
1074,8
1076,2
1078,9
1080,16
1082,7
1084,7
1086,15
1088,3
1090,5
1092,22
1094,6
1096,8
1098,12
1100,5
1102,4
1104,11
1106,6
1108,3
1110,12
1112,3
1114,1
1116,16
1118,7
1120,8
1122,11
1124,4
1126,5
1128,10
1130,8
1132,4
1134,9
1136,7
1138,1
1140,6
1142,3
1144,5
1146,4
1148,3
1150,4
1152,10
1154,3
1156,5
1158,8
1160,6
1162,7
1164,5
1166,1
1168,1
1170,14
1172,5
1174,6
1176,4
1178,1
1180,5
1182,3
1184,2
1186,3
1188,9
1190,5
1192,4
1194,7
1196,5
1198,5
1200,9
1202,3
1204,5
1206,6
1208,6
1210,2
1212,6
1214,2
1216,5
1218,6
1220,4
1222,2
1224,9
1226,3
1228,2
1230,6
1232,4
1234,4
1236,9
1238,4
1240,6
1242,3
1244,2
1246,5
1248,6
1250,4
1252,2
1254,8
1256,4
1258,2
1260,9
1262,1
1264,3
1266,7
1268,2
1270,4
1272,8
1274,2
1278,3
1280,3
1282,4
1284,2
1286,4
1288,2
1290,4
1292,3
1294,5
1296,6
1298,4
1300,5
1302,4
1306,1
1308,3
1310,1
1312,1
1314,6
1316,5
1318,4
1320,10
1322,6
1324,2
1326,10
1328,1
1330,3
1332,4
1334,4
1336,1
1338,8
1340,3
1342,2
1344,8
1346,4
1348,1
1350,4
1352,2
1354,3
1356,4
1358,5
1360,4
1362,6
1364,2
1366,3
1368,2
1370,4
1372,4
1374,4
1376,5
1378,2
1380,3
1382,1
1384,1
1386,2
1388,3
1390,3
1392,4
1396,3
1398,4
1400,2
1402,3
1404,4
1406,1
1408,1
1410,8
1414,4
1416,5
1420,2
1422,4
1426,2
1428,6
1430,2
1434,1
1438,2
1440,7
1442,2
1446,1
1448,4
1450,2
1452,1
1454,2
1456,2
1458,5
1460,5
1462,5
1464,3
1466,2
1468,1
1470,7
1472,1
1476,4
1478,1
1480,2
1482,2
1484,2
1488,2
1490,2
1494,4
1496,3
1498,1
1500,3
1502,1
1504,2
1506,2
1508,4
1510,2
1512,6
1516,4
1518,2
1520,1
1522,2
1526,1
1528,3
1530,6
1532,1
1534,2
1536,1
1538,3
1540,3
1542,5
1544,2
1546,1
1548,1
1550,2
1552,1
1554,2
1556,2
1558,1
1560,4
1562,3
1564,3
1566,4
1568,2
1570,1
1572,1
1576,2
1578,2
1580,2
1586,3
1588,1
1590,2
1592,2
1594,2
1596,3
1602,3
1604,1
1606,3
1608,2
1610,3
1612,1
1614,5
1620,3
1622,1
1624,2
1626,4
1628,2
1630,1
1632,3
1634,1
1636,2
1638,2
1640,2
1642,1
1648,2
1652,2
1656,1
1658,1
1662,3
1664,2
1668,3
1670,2
1672,4
1674,3
1676,1
1680,3
1682,2
1684,2
1686,1
1692,3
1696,2
1698,2
1700,1
1702,2
1708,3
1710,2
1712,1
1714,1
1716,2
1720,3
1722,2
1724,1
1728,2
1730,3
1734,1
1736,1
1740,5
1742,3
1744,2
1746,3
1748,3
1750,1
1754,1
1760,2
1764,1
1768,2
1770,5
1772,2
1776,2
1778,2
1780,1
1782,1
1784,1
1788,2
1790,4
1792,1
1794,2
1796,1
1802,1
1806,2
1810,2
1814,1
1818,2
1824,3
1830,1
1834,1
1836,1
1840,1
1846,1
1848,1
1850,1
1854,2
1858,1
1860,1
1862,1
1864,1
1866,2
1870,2
1872,1
1878,2
1882,1
1884,1
1888,1
1890,3
1892,1
1902,1
1908,1
1910,1
1912,3
1914,1
1918,1
1920,1
1926,1
1928,3
1944,2
1950,2
1952,1
1956,2
1958,1
1962,1
1966,1
1972,1
1974,1
1980,2
1984,3
1986,1
1990,1
1994,1
2000,3
2008,1
2018,1
2020,2
2024,1
2030,1
2032,1
2034,3
2038,1
2052,1
2054,1
2058,1
2060,1
2064,1
2068,1
2070,1
2074,1
2084,1
2090,2
2106,1
2110,1
2116,1
2118,2
2130,1
2136,2
2138,2
2142,2
2160,1
2162,1
2170,1
2172,1
2176,1
2180,1
2192,1
2202,1
2206,1
2226,1
2228,1
2232,1
2236,1
2238,1
2240,1
2250,1
2258,1
2262,1
2272,1
2274,1
2276,1
2282,1
2304,2
2306,1
2314,1
2316,2
2328,1
2342,1
2354,1
2368,1
2380,1
2382,2
2388,1
2410,1
2442,1
2450,1
2460,1
2470,1
2480,1
2496,1
2520,3
2530,1
2532,1
2640,1
2682,1
2702,1
2722,1
2810,1
2880,1
2902,1
2922,2
2952,1
3050,1
3090,1
3140,1
3428,1
